DEV000010240000300ADMINISTRATION      Administration
DEV000010450000301ADMINISTRATION      Administration Components
DEV000044480000400ADMINISTRATION      Administration Components
DEV000065261000601ANAGRAFICHE         Gestione Anagrafiche
DEV000001036000111ANCESTORS           Ancestor Objects
DEV000001046000551APPRAISAL COMP/FORMSCAG Appraisal System Components/Forms
DEV000001046000451APPRAISAL PARTS     CAG Appraisal System Reuseable Parts
DEV000001036000801AR FORMS            A/R Form Components
DEV000001036000701AR REUSABLES        A/R Reusable Components
DEV000010060001001B.O.B. COMPONENTS   Business Object Brokers - Specific
DEV000650989002001BARCAP CUSTOM       Barclays Capital Custom Code
DEV000001046120001BILL                Bill's Test/Development parts
DEV000001046001101BOB                 Bob's Test/Development parts
DEV000448333000301BUSINESS CONTACT    Business Contact
DEV000448333000701CERTIFICATE         Certificate
DEV000001036001401CHG REQ FORMS       Change Request Forms
DEV000001036001301CHG REQ REUSABLES   Change Request Reusable Components
DEV000001036001251CODE FILE FORMS     Code File Forms
DEV000001036001201CODE FILE REUSABLES Code File Reusable Components
DEV000010060000061COMMERCIAL LOAN     Commercial Loan System Components
DEV000006518001001COMMON              Common
DEV000010060000101CONTROLS            Control Components
DEV000010240000101CONTROLS            Control Components
DEV000001036000011CONTROLS            Control Components
DEV000000102000101CONTROLS            Control Components
DEV000010060000051CREDIT ARRANGEMENT  Credit Arrangement System Components
DEV000448333000801CREWPLANNING        Crewplanning
DEV000001036000301CROSS APP REUSABLES Cross App Reusable Components
DEV000010060000601CUSTOMER            Customer Components
DEV000044480000300CUSTOMER SERVICES   Customer Service Components
DEV000001046000901DAVE                Dave's Test/Development parts
DEV000001046000701DICK TEST           Dick's Test/Development parts
DEV000044420000301DOCUMENT MANAGEMENT Document Management
DEV000010483000221EDD_SYSTEM          Financials
DEV000010483000401EDD_SYSTEM          Financials
DEV000010240000900EXECUTIVE INFORMATN Executive Information Systems
DEV000065911001601FILE MANAGEMENT     File management
DEV000044420000501FINANCE             Finance Systems
DEV000448333001001FINANCE VESSEL      Finance vessel
DEV000010240000600FINANCIAL CONTROL   Budgeting & Accounting
DEV000448333001201FLEETMANAGEMENT     Fleetmanagement
DEV000065911001301FLEETREPORTING      Fleetreporting
DEV000010060000271FOUNDATION -FORM PTSFoundation - Form Parts
DEV000010060000251FOUNDATION -FORMS   Foundation - Forms
DEV000010060000261FOUNDATION -SERVICESFoundation - Services
DEV000000650000301FRAMEWORK           Framework
DEV000010060000071GENERAL             General Components
DEV000448333000501GENERAL             General
DEV000044420000401HOUSING             Housing Management Systems
DEV000010240000400HUMAN RESOURCES     Personnel & Payroll
DEV000010240001101IMPORT COLLECTION   Import Collection
DEV000448333000401INSURANCE           Insurance
DEV000010240000201INTERNAL SYSTEM     Internal System Components
DEV000010060000201INTERNAL SYSTEM     Internal System Components
DEV000000102000201INTERNAL SYSTEM     Internal System Components
DEV000001036000021INTERNAL SYSTEM     Internal System Components
DEV000001055000401INTERNAL SYSTEMS    Internal Systems
DEV000065911001501INVOICING           Invoicing
DEV000010060000401LOAN WORKSHOP       Loan Workshop
DEV000010240000500MANUFACTURING       Purchasing & Scheduling
DEV000001046001001MIKE                Mike's Test/Development parts
DEV000001046000801MITCH               Mitch's Test/Development parts
DEV000000651001001NP FORMS            New Product Forms
DEV000001036000601PA FORMS            P/A Form Components
DEV000001036000501PA REUSABLES        P/A Reusables Components
DEV000001036001001PM FORMS            PM Forms
DEV000001036000901PM REUSABLES        PM Reusable Components
DEV000001036001151PM SETUP FORMS      PM Forms
DEV000001036001101PM SETUP REUSABLES  PM Reusable Components
DEV000065911001401PROJECTMANAGMENT    Projectmanagement
DEV007824810000100QA                  Quality Assurance
DEV000010603000301RATING & QUOTE      Rating & Quote Application Components
DEV000000651001201RE-USABLE (FW)      Re-usable Framework components
DEV000000651001101RE-USABLE (NOT FW)  Re-usable (Not Framework)
DEV000065261000401RICERCHE            Ricerche su anagrafiche e tabelle
DEV000010240000700SALES & MARKETING   Sales & Marketing
DEV000065905000401SLIGRO CS           Sligro Client/Server
DEV000065905000301SLIGRO WEB          Sligro webcomponenten
DEV000065261000301SPORTELLO           Applicazione Sportello
DEV000010060000501SST COMPONENTS      SST Components
DEV000065765000501STAMPE              Stampe
DEV000065765000301STATISTICHE         Interrogazioni - Statistiche
DEV000001055000301SUPPORT             Technical Support
DEV000010603000321SYSTEM              Argus System Components
DEV000010060000301SYSTEM SECURITY     System Security
DEV000006523000101SYSTEM UTILITIES    System Utility Components
DEV000441844000101SYSTEM UTILITIES    System Utility Components
DEV000065765000401TABELLE             Gestione tabelle
DEV000001046000501TAX COMPONENTS/FORMSCAG Tax System Components/Forms
DEV000001046000401TAX PARTS           CAG Tax System Reuseable Parts
DEV000010603000421TEMPORARY           Argus Temporary Objects
DEV000010483000211TES_CB              TES CABS
DEV000010483000301TES_CB              TES CABS
DEV000010483000101TES_MF              TES Master
DEV000001046001201TEST - MIKE         Mike's Test/Development
DEV000001046001301TEST - MITCH        Mitch's Test/Development
DEV000006523000201TEST COMPONENTS     Test Components
DEV000441844000201TEST COMPONENTS     Test Components
DEV000010060000991TEST STUFF          Test Components
DEV000010603000401TESTING             Argus Testing Components
DEV000065261000501UTILITY             Programmi utilities
DEV000001046000601UTILITY FORMS       CAG General Purpose Forms/Components
DEV000001046000301UTILITY PARTS       CAG General Purpose Utility Parts
DEV000065765000601VARIE               Altre applicazioni
DEV000448333000601VESSEL              Vessel
DEV000448333001101VOYAGE MANAGEMENT   Voyage management
DEV000010240000800WAREHOUSING         Inventory Control & Dispatch
