DEV000001021016001ACTIVEX CONTROLS    ActiveX Controls
DEV000000102001001BARS                Progress, Status and Tool Bars
DEV000006518001001BARS                Progress, Status and Tool Bars
DEV000010240001001BARS                Progress, Status and Tool Bars
DEV000010240002001BASIC CONTROLS      Basic Controls
DEV000006518002001BASIC CONTROLS      Basic Controls
DEV000000102002001BASIC CONTROLS      Basic Controls
DEV000000102003001BOXES               Check, Edit and Group Boxes
DEV000006518003001BOXES               Check, Edit and Group Boxes
DEV000010240003001BOXES               Check, Edit and Group Boxes
DEV000010240004001BUTTONS             Push, Radio and Spin Buttons
DEV000006518004001BUTTONS             Push, Radio and Spin Buttons
DEV000000102004001BUTTONS             Push, Radio and Spin Buttons
DEV000006518016001COLLECTIONS         Collections
DEV000001021017001COM AUTOMATION      COM Automation components
DEV000000102005001CURRENCY & AMOUNTS  Currency Formatting and Monetary Values
DEV000010240005001CURRENCY & AMOUNTS  Currency Formatting and Monetary Values
DEV000006518005001CURRENCY & TIMES    Currency Formatting, and Monetary Values
DEV000006518006001DATES & TIMES       Dates, Date Formating, and Timestamping
DEV000000102006001DATES & TIMES       Dates, Date Formatting, and Timestamping
DEV000010240006001DATES & TIMES       Dates, Date Formatting, and Timestamping
DEV000065905013001DBA VELDEN          Database velden
DEV000010240012000DEMONSTRATION       Demonstration Material
DEV000010240009001DEVICES             Device Components
DEV000000102009001DEVICES             Device Components
DEV000006518009001DEVICES             Devices Components
DEV000010240013000EMPLOYEE            Employee Interface
DEV000065905012001GUI VELDEN          Grafische velden
DEV000006518018001LIBRARIES           Libraries
DEV000000102007001LISTS & GRIDS       List and Grid Components
DEV000006518007001LISTS & GRIDS       List and Grid Componts
DEV000010240007001LISTS & GRIDS       List and Grid Components
DEV000010240008001MENUS               Menu and Menu Item Components
DEV000006518008001MENUS               Menu and Menu Item Components
DEV000000102008001MENUS               Menu and Menu Item Components
DEV000006518010001PICTURES & SOUND    Picture, Image, Graph, Vido and Sound
DEV000000102010001PICTURES & SOUND    Picture, Image, Graph, Video and Sound
DEV000010240010001PICTURES & SOUND    Picture, Image, Graph, Video and Sound
DEV000010240014000PRODUCT             Product Interface
DEV000010060012001PROVIDERS           Providers
DEV000010060014001RE-USABLE PARTS     Re-usable Parts
DEV000006518017001REFLECTIONS         Reflections
DEV000010060013001RETRIEVERS          Retrievers
DEV000006518011001SECURITY & AUTHORITYSystem Security & Authority
DEV000000102011001SECURITY & AUTHORITYSystem Security & Authority
DEV000010240011001SECURITY & AUTHORITYSystem Security & Authority
DEV000441844001201SYSTEM PICTURES     System Bitmaps and Icons
DEV000006523001201SYSTEM PICTURES     System Bitmaps and Icons
DEV000006523001101SYSTEM REUSABLE PARTSystem Reusable Part Components
DEV000441844001101SYSTEM REUSABLE PARTSystem Reusable Part Components
DEV000441844001001SYSTEM UTILITIES    System Utility Components
DEV000006523001001SYSTEM UTILITIES    System Utility Components
DEV000006523002001TEST COMPONENTS     Test Components
DEV000441844002001TEST COMPONENTS     Test Components
DEV000010240015000UTILITIES           Standard Calculations & Routines
DEV007824810009990VL                  Visual LANSA
